title,category
"Les 5 bienfaits insoupçonnés du Lagree sur votre posture",Bienfaits
"MegaPro vs Reformer Pilates : quelles différences ?",Méthode
"Comment récupérer après une séance de Lagree intense ?",Conseils
"Lagree pour les hommes : brisez les idées reçues",Public
"Mal de dos et Lagree : la solution miracle ?",Santé
"Les chaussettes grippy sont-elles obligatoires en Lagree ?",Pratique
"Lagree prénatal : peut-on pratiquer enceinte ?",Santé
"Comment le Lagree améliore vos performances en surf",Performance
"Combien de séances de Lagree par semaine pour voir des résultats ?",Conseils
"Le 'Lagree Shake' : pourquoi vos muscles tremblent-ils ?",Science
"Renforcement du Core : pourquoi le Lagree est roi",Exercices
"Lagree vs Crossfit : le match de l'intensité",Comparatif
"L'importance de la lenteur : comprendre le Tempo 4",Méthode
"Souplesse et Lagree : un duo gagnant",Bienfaits
"Préparer sa première séance de Lagree chez DOZ",Débutants
"Lagree et perte de poids : le mythe vs la réalité",Santé
"Le rôle des ressorts sur le MegaPro expliqué",Technique
"Pourquoi le Lagree est le complément idéal du Running",Performance
"Gainage profond : les meilleurs exercices sur MegaPro",Exercices
"L'histoire de Sébastien Lagree et de sa méthode",Histoire